psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,home3nw,q2,modem4b,q3,q4,q5,q6,q7,q9,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,loc2a,loc2b,loc3m1,loc3m2,loc3m3,loc3m4,loc3m5,loc3m6,loc3m7,loc3m8,loc3m9,loc3m10,loc3m11,loc3m12,loc3m13,mar,mar2,mar3,mar4,meet,rel1,rel2,rel3,intdatea,intdateb,intdatec,intdated,intdatee,snsdate1a,snsdate1b,snsdate1c,snsdate1d,snsdate1e,snsdate2a,snsdate2b,snsdate2c,celldatea,celldateb,breaka,breakb,date1a,date1bm1,date1bm2,date1bm3,date1bm4,date1bm5,date1bm6,date1bm7,date1bm8,date1bm9,date1bm10,date1bm11,date1bm12,date1bm13,date1bm14,date1bm15,date1bm16,date1bm17,date2a,date2bm1,date2bm2,date2bm3,date2bm4,date2bm5,date2bm6,date2bm7,date2bm8,date2bm9,date2bm10,date2bm11,date2bm12,date2bm13,date2bm14,date2bm15,date2bm16,date3a,date3b,date4a,date4b,date4c,date5a,date5b,date5c,date5d,date5e,date5f,date6,date7,date8a,date8b,date8c,date8d,date8e,date9a,date9b,date9c,date9d,rel4a,rel4b,rel4c,rel5,rel6,rel7,rel8a,rel8b,rel8c,rel8d,rel8e,rel8f,q13a,q13b,q13c,age,par,qd2b1,qd2b2,qd2c,hh1,educ2,emplnw,hisp,birth_hisp,race,inc,lgbt,ql1a,ql2hh,qc1,qc2hh,q2os,modem4bos,q6os,smart2os,loc3os,rel3vb,date1bos,date2bos,raceos,weight,standwt
100058,1,1,34,34013,1,S,2,1,1,3,2,2, ,2, , , ,2,2,2,8,3,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,2, , , , , , , , , , , , , , , ,79,2, , , ,1,3,3,2, ,2,98,1,2, , , , , , , , , , , , ,4.48387096774194,1.41590432165455
100067,1,1,8,8075,4,R,2,2,2,2, , ,1,1,1, ,2, , , , , , ,1,1,2,2,2,1,2, ,2,1,1,1,2,14,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,45, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,1,3, ,2,2,2, ,2,2,2,2,2,65,2, , , ,2,6,3,2, ,1,4,1, ,3, , , , , , , , , , , ,1,.315777222815045
100071,1,1,28,28025,3,R,2,1,2,2,2,2, ,2, , , ,2,2,2,9,3,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,8,8, , , , , , , , , , , , , , , ,87,2, , , ,1,2,3,2, ,1,99,9,2, , , , , , , , , , , , ,2.7741935483871,.876027134261091
100076,1,1,47,47157,3,S,2,1,2,4,2,2, ,1,2,97, , , , , , , ,1,1,2,2,2,1,2,2, ,1,2,1,1,3,1,1,1,1,2,1,1,2,2, , , , , , , , , , , , , ,6,2, ,1,2, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,1, , , , , , , , , , , , ,2,2,2,28,2, , , ,2,3,4,2, ,3,99,1, ,2, , ,BECAUSE I'M TIRED, , , , , , , , ,4.74193548387097,1.49739521786489
100081,1,1,51,51153,3,S,1,1,2,3,1,1, ,1,1, ,4, , , , , , ,1,1,2,1,2,2,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,2,1, , , , , , , , , , , , , ,1, ,24, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,2,1,2,8,2,2,2,1,3, ,2,2,2,2,2,2,2,2,2,56,2, , , ,2,4,1,2, ,2,8,1, ,3, , , , , , , , , , , ,2,.631554445630089
100088,1,1,12,12053,3,S,2,1,2,3,2,2, ,1,2,98, , , , , , , ,2,2,2,2,9,2,2, , ,1,2,1,8,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,2,1,2, , , , , , , , , , , , ,2,2,2,83,2, , , ,2,4,3,2, ,1,2,8, ,2, , , , , , , , , , , ,1.58064516129032,.499131739288296
100096,1,1,55,55087,2,U,2,2,2,2, , ,1,1,1, ,4, , , , , , ,1,2,2,2,2,1,2, , ,1,1,1,2,8,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,26, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,1, ,2,1,3, ,2,1,2, ,2,2,2,2,2,50,2, , , ,2,3,1,2, ,1,7,1, ,2, , , , , , , , , , , ,3.96774193548387,1.25292252923389
100100,1,1,36,36119,1,S,2,1,1,2,2,2, ,2, , , ,2,2,1,10,2,2, , , , , , , , , ,1,2,1,2,3,2,2,2,2,2,9, ,2,2, , , , , , , , , , , , , ,1, ,63, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,2,2,1, , , , ,3, , ,2, , ,2,2,2,2,2,90,2, , , ,2,6,3,2, ,1,2,1, ,2, , , , , , , , , , , ,1.87096774193548,.590808997524922
100104,1,1,49,49041,4,R,2,2,2,2, , ,1,1,1, ,4, , , , , , ,1,1,2,2,2,1,2, ,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1, , , , , , , , , , , , , ,3,2, ,2, , , , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,1, , , , , , , , , , , , , , , , ,2,2,8,8, , , , , , , , , , , , ,2,2,2,50,2, , , ,2,5,1,2, ,1,99,1, ,1, , , , , , , , , , , ,3.12903225806452,.988077116550301
100106,1,1,30,30099,4,R,2,2,1,3, , ,2,2, , , ,2,1,2,7,2,1, , , , , , , , , ,1,2,1,2,98,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,33, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,8,2,1, , , , ,3, , ,2, ,2,2,2,2,2,2,56,2, , , ,2,3,5,2, ,1,5,1, ,2, , , , , , , , , , , ,2.16129032258065,.682486255761548
